,Perceived_Health,Regular_Healthcare_Provider,Age,Sex_at_Birth,Province,Household_Income,Education_Level,Working_Status,No_Healthcare_Provider,Sex
count,5369.0,5369.0,5369.0,5369.0,5369.0,5369.0,5369.0,5369.0,5369.0,5369
unique,,,,,,,,,,2
top,,,,,,,,,,Female
freq,,,,,,,,,,2820
mean,2.5818588191469547,2.6204134848202645,3.0664928292046936,1.5252374743900168,36.672937232259265,3.8994226112870183,2.564909666604582,1.2613149562302104,0.26168746507729557,
std,1.1344320658183982,1.707919807089415,0.8272174800556731,0.49940917443861493,16.74350463390073,1.1086376934835973,0.6260057453545481,0.4393920904694521,0.439594276675803,
min,1.0,1.0,2.0,1.0,10.0,2.0,1.0,1.0,0.0,
25%,2.0,1.0,2.0,1.0,24.0,3.0,2.0,1.0,0.0,
50%,3.0,2.0,3.0,2.0,35.0,4.0,3.0,1.0,0.0,
75%,3.0,5.0,4.0,2.0,48.0,5.0,3.0,2.0,1.0,
max,5.0,5.0,4.0,2.0,60.0,5.0,3.0,2.0,1.0,
